"","V1"
"acetaminophen_2008.txt",1
"acetaminophen_2009.txt",1
"acetaminophen_2010.txt",1
"acetaminophen_2011.txt",1
"acetaminophen_2012.txt",1
"acetaminophen_2013.txt",1
"acetaminophen_2014.txt",1
"acetaminophen_2015.txt",1
"acetaminophen_2016.txt",1
"acetaminophen_2017.txt",1
"acetaminophen_2018.txt",2
"acetaminophen_2019.txt",2
"acetaminophen_2020.txt",2
"acetaminophen_2021.txt",2
"oxycodone_2008.txt",1
"oxycodone_2009.txt",1
"oxycodone_2010.txt",1
"oxycodone_2011.txt",1
"oxycodone_2012.txt",1
"oxycodone_2013.txt",1
"oxycodone_2014.txt",1
"oxycodone_2015.txt",1
"oxycodone_2016.txt",1
"oxycodone_2017.txt",1
"oxycodone_2018.txt",2
"oxycodone_2019.txt",2
"oxycodone_2020.txt",2
"oxycodone_2021.txt",2
"tramadol_2008.txt",1
"tramadol_2009.txt",1
"tramadol_2010.txt",1
"tramadol_2011.txt",1
"tramadol_2012.txt",1
"tramadol_2013.txt",1
"tramadol_2014.txt",1
"tramadol_2015.txt",1
"tramadol_2016.txt",1
"tramadol_2017.txt",1
"tramadol_2018.txt",1
"tramadol_2019.txt",1
"tramadol_2020.txt",1
"tramadol_2021.txt",1
